Brand,Model,Status,Price_Lakh_Min,Price_Lakh_Max,Price_Text,Range_km,Range_km_Min,Range_km_Max,Range_Text,Battery_capacity_kWh,Battery_capacity_kWh_Min,Battery_capacity_kWh_Max,Battery_Text,Charging_time,Body_Type,Fast_Charging,Seats,Safety_Rating,Useful_Features,Variants_Count,Image_URL,Image_Source_URL,Source_URL,Data_Source,Data_Collected_Date,Notes
Lexus,ES,On sale / listed by CarWale,89.99,89.99,Rs. 89.99 Lakh,580,580,580,580 km,74.68,74.68,74.68,74.68 kWh,"Charging Time (AC Fast Charger) 10-80 % : 7 hrs, 11 / Charging Time (DC Fast Charger) 10-80 % : 28 mins, 150",Sedan,Yes,5,,High-beam Assist; Hill Hold Control; TPMS; Wireless Charger; Automatic Headlamps; AWD; Airbags,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/219038/new-es-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/lexus-cars/es/,https://www.carwale.com/lexus-cars/es/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Audi,e-tron,On sale / listed by CarWale,102,125,Rs. 1.02 - 1.25 Crore,484,379,484,379 to 484 km,95,71,95,71 to 95 kWh,,SUV,Yes,5,5 Star (Euro NCAP),Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control; Automatic Headlamps,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/39048/e-tron-exterior-right-front-three-quarter-7.png?isig=0&q=80,https://www.carwale.com/audi-cars/e-tron/,https://www.carwale.com/audi-cars/e-tron/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Audi,Q8 e-tron,On sale / listed by CarWale,115,127,Rs. 1.15 - 1.27 Crore,582,491,582,491 to 582 km,114,95,114,95 to 114 kWh,"DC fast charger, the batteries of the Audi Q8 e-tron can be charged from 10 to 80 per cent in just 31 min",SUV,Yes,5,5 Star (Euro NCAP),High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/152943/q8-e-tron-exterior-right-front-three-quarter-15.png?isig=0&q=80,https://www.carwale.com/audi-cars/q8-e-tron/,https://www.carwale.com/audi-cars/q8-e-tron/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Audi,Q8 Sportback e-tron,On sale / listed by CarWale,119,132,Rs. 1.19 - 1.32 Crore,600,505,600,505 to 600 km,114,95,114,95 to 114 kWh,"DC fast charger, the batteries of the Audi Q8 Sportback e-tron can be charged from 10 to 80 per cent in just 31 min",Coupe,Yes,5,5 Star (Euro NCAP),High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/153789/q8-sportback-e-tron-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/audi-cars/q8-sportback-e-tron/,https://www.carwale.com/audi-cars/q8-sportback-e-tron/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Audi,e-tron Sportback,On sale / listed by CarWale,120,126,Rs. 1.20 - 1.26 Crore,484,484,484,484 km,95,95,95,95 kWh,,SUV,Yes,5,5 Star (Euro NCAP),Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control; Automatic Headlamps,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/39045/e-tron-sportback-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/audi-cars/e-tron-sportback/,https://www.carwale.com/audi-cars/e-tron-sportback/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BMW,i5,On sale / listed by CarWale,120,120,Rs. 1.20 Crore,516,516,516,516 km,83.9,83.9,83.9,83.9 kWh,,Sedan,Unknown,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/174353/i5-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/bmw-cars/i5/,https://www.carwale.com/bmw-cars/i5/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Porsche,Macan Turbo EV,On sale / listed by CarWale,122,175,Rs. 1.22 - 1.75 Crore,641,641,641,641 km,100,100,100,100 kWh,10-80 per cent in about 21 min,SUV,Yes,5,5 Star (Euro NCAP),Hill Hold Control; Traction Control; TPMS; Voice Command; Cruise Control; Automatic Headlamps; AWD; Airbags,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/169989/macan-turbo-ev-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/porsche-cars/macan-turbo-ev/,https://www.carwale.com/porsche-cars/macan-turbo-ev/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Kia,EV9,On sale / listed by CarWale,130,130,Rs. 1.30 Crore,561,561,561,561 km,99.8,99.8,99.8,99.8 kWh,"Charging Time (DC Fast Charger) 10-80 % : 24 mins, 350 / 10-80 % : 24 mins",SUV,Yes,6,,Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/144485/ev9-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/kia-cars/ev9/,https://www.carwale.com/kia-cars/ev9/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,EQS,On sale / listed by CarWale,130,130,Rs. 1.30 Crore,857,857,857,857 km,107.8,107.8,107.8,107.8 kWh,,Sedan,Yes,5,5 Star (Euro NCAP),ADAS; Adaptive Cruise Control; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/131249/eqs-exterior-right-front-three-quarter-31.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/eqs/,https://www.carwale.com/mercedes-benz-cars/eqs/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,EQS SUV,On sale / listed by CarWale,134,148,Rs. 1.34 - 1.48 Crore,809,650,809,650 to 809 km,122,122,122,122 kWh,,SUV,Unknown,5,,Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Automatic Headlamps,4,https://imgd.aeplcdn.com/664x374/n/cw/ec/187171/eqs-suv-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/eqs-suv/,https://www.carwale.com/mercedes-benz-cars/eqs-suv/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BMW,iX,On sale / listed by CarWale,140,140,Rs. 1.40 Crore,635,635,635,635 km,111.5,111.5,111.5,111.5 kWh,,SUV,Yes,5,,Blind Spot Detection; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/108499/ix-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/bmw-cars/ix/,https://www.carwale.com/bmw-cars/ix/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,EQE SUV,On sale / listed by CarWale,141,141,Rs. 1.41 Crore,550,550,550,550 km,90.56,90.56,90.56,90.56 kWh,DC fast charger you get 10-80 per cent in less than 60 min / 10-80 per cent in less than 60 min,SUV,Yes,5,5 Star (Euro NCAP),ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/108113/eqe-suv-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/eqe-suv/,https://www.carwale.com/mercedes-benz-cars/eqe-suv/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Audi,e-tron GT,On sale / listed by CarWale,172,195,Rs. 1.72 - 1.95 Crore,401,388,401,388 to 401 km,93.4,93.4,93.4,93.4 kWh,,Sedan,Yes,5,5 Star (Euro NCAP),High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/47073/e-tron-gt-exterior-right-front-three-quarter-13.png?isig=0&q=80,https://www.carwale.com/audi-cars/e-tron-gt/,https://www.carwale.com/audi-cars/e-tron-gt/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Porsche,Cayenne EV,On sale / listed by CarWale,177,228,Rs. 1.77 - 2.28 Crore,642,623,642,623 to 642 km,113,113,113,113 kWh,"Charging Time (DC Fast Charger) 10-80 % : 16 mins, 150 / 10-80 per cent in 16 min",SUV,Yes,5,,Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Voice Command; Cruise Control; Automatic Headlamps,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/212775/cayenne-ev-exterior-right-front-three-quarter-2.png?isig=0&q=80,https://www.carwale.com/porsche-cars/cayenne-ev/,https://www.carwale.com/porsche-cars/cayenne-ev/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Porsche,Taycan,On sale / listed by CarWale,201,274,Rs. 2.01 - 2.74 Crore,645,566,645,566 to 645 km,93.4,79.2,93.4,79.2 to 93.4 kWh,,Sedan,Yes,4,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Voice Command; Automatic Headlamps,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/45063/taycan-exterior-right-front-three-quarter-6.png?isig=0&q=80,https://www.carwale.com/porsche-cars/taycan/,https://www.carwale.com/porsche-cars/taycan/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
BMW,i7,On sale / listed by CarWale,205,258,Rs. 2.05 - 2.58 Crore,603,560,603,560 to 603 km,101.7,101.7,101.7,101.7 kWh,,Sedan,Unknown,5,,High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control; Automatic Headlamps,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/137875/i7-exterior-right-front-three-quarter-9.png?isig=0&q=80,https://www.carwale.com/bmw-cars/i7/,https://www.carwale.com/bmw-cars/i7/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Lotus,Emeya,On sale / listed by CarWale,234,234,Rs. 2.34 Crore,610,610,610,610 km,102,102,102,102 kWh,,SUV,Unknown,5,,AWD,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/196547/emeya-exterior-right-front-three-quarter-7.png?isig=0&q=80,https://www.carwale.com/lotus-cars/emeya/,https://www.carwale.com/lotus-cars/emeya/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,Maybach EQS SUV,On sale / listed by CarWale,240,265,Rs. 2.40 - 2.65 Crore,600,600,600,600 km,122,122,122,122 kWh,,SUV,Yes,5,5 Star (Euro NCAP),Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Automatic Headlamps,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/175201/maybach-eqs-suv-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/maybach-eqs-suv/,https://www.carwale.com/mercedes-benz-cars/maybach-eqs-suv/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,AMG EQS,On sale / listed by CarWale,245,245,Rs. 2.45 Crore,526,526,526,526 km,107.8,107.8,107.8,107.8 kWh,,Sedan,Yes,5,5 Star (Euro NCAP),Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Panoramic Sunroof; Voice Command,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/58165/amg-eqs-exterior-right-front-three-quarter-62.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/amg-eqs/,https://www.carwale.com/mercedes-benz-cars/amg-eqs/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Lotus,Eletre,On sale / listed by CarWale,255,299,Rs. 2.55 - 2.99 Crore,600,490,600,490 to 600 km,112,112,112,112 kWh,,SUV,Unknown,5,,ADAS; Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command,3,https://imgd.aeplcdn.com/664x374/n/cw/ec/164919/eletre-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/lotus-cars/eletre/,https://www.carwale.com/lotus-cars/eletre/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Mercedes-Benz,G580 with EQ Technology,On sale / listed by CarWale,310,310,Rs. 3.10 Crore,473,473,473,473 km,116,116,116,116 kWh,"Charging Time (DC Fast Charger) 10-80 % : 32 mins, 200 / 10-80 % : 32 mins",SUV,Yes,5,,Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Voice Command; Cruise Control; Automatic Headlamps,1,https://imgd.aeplcdn.com/664x374/n/cw/ec/175191/g580-with-eq-technology-exterior-right-front-three-quarter-9.png?isig=0&q=80,https://www.carwale.com/mercedes-benz-cars/g580-with-eq-technology/,https://www.carwale.com/mercedes-benz-cars/g580-with-eq-technology/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
Rolls-Royce,Spectre,On sale / listed by CarWale,750,950,Rs. 7.50 - 9.50 Crore,530,530,530,530 km,102,102,102,102 kWh,10-80 per cent in just 34 min,Coupe,Yes,4,,Blind Spot Detection; High-beam Assist; Hill Hold Control; Traction Control; TPMS; Wireless Charger; Voice Command; Cruise Control,2,https://imgd.aeplcdn.com/664x374/n/cw/ec/168715/spectre-exterior-right-front-three-quarter-4.png?isig=0&q=80,https://www.carwale.com/rolls-royce-cars/spectre/,https://www.carwale.com/rolls-royce-cars/spectre/,CarWale listing and model page,2026-07-11,Required app fields completed from model/spec references.
